countries,co2_cummulative,ghg_cummulative,ghg_2010,co2_2011,change_1971_2011,change_1990_2011,total_footprint,pop_2010,gdp_ppp_2010,hdi_2011,hdi_change_1990_2011,gender_inequality_2012,maternal_2010
Madagascar,61.4,763.64,48.32,,,,4.5,21079532.0,17899.0,0.483,,,240.0
Malawi,34.5,265.46,17.34,,,,2.2,15013694.0,11628.0,0.415,40.68,0.573,460.0
Malaysia,2778.4,4318.6,287.32,194.0,1427.7,290.7,174.2,28275835.0,389260.0,0.7659999999999999,20.63,0.256,29.0
Maldives,9.1,12.71,1.15,,,,,325694.0,2390.0,0.687,,0.35700000000000004,60.0
Mali,18.6,405.82,25.81,,,,,13985961.0,15316.0,0.34700000000000003,70.1,0.649,540.0
Malta,73.8,63.73,8.55,2.5,281.2,8.2,6.3,415995.0,9442.0,0.846,11.76,0.236,8.0
Mauritania,59.0,175.2,9.07,,,,6.6,3609420.0,7617.0,0.464,29.97,0.643,510.0
Mauritius,63.2,86.38,6.46,,,,,1280924.0,16270.0,0.735,17.41,0.377,60.0
Mexico,12242.8,11772.12,688.25,432.3,345.4,63.0,529.2,117886404.0,1412210.0,0.773,18.2,0.382,50.0
Moldova,888.9,335.92,11.01,7.9,,-73.9,,3562062.0,10165.0,0.657,1.08,0.303,41.0
Mongolia,350.7,478.01,23.49,13.0,,3.0,,2712738.0,9977.0,0.6679999999999999,19.5,0.328,63.0
Morocco,969.5,1304.53,81.16,50.2,633.2,155.4,53.2,31642360.0,137247.0,0.589,33.86,0.444,100.0
Mozambique,107.2,486.38,26.17,2.8,-1.4,163.0,5.7,23967265.0,19295.0,0.322,59.41,0.5820000000000001,490.0
Myanmar,332.5,3452.03,163.56,8.3,80.5,103.8,15.8,51931231.0,,0.494,61.97,0.4370000000000001,200.0
Namibia,36.3,249.64,15.73,3.1,,,,2178967.0,13274.0,0.606,6.5,0.455,200.0
Nauru,5.0,3.15,0.19,,,,,9267.0,,,,,
Nepal,55.0,653.33,36.71,4.1,2060.2,359.1,,26846016.0,32335.0,0.46,34.9,0.485,170.0
Netherlands,9431.8,4688.75,285.84,174.5,34.6,12.0,215.4,16615394.0,613526.0,0.921,9.38,0.045,6.0
New Zealand,1370.3,1429.64,76.95,30.3,120.7,35.8,37.8,4367800.0,109418.0,0.918,9.94,0.16399999999999998,15.0
Nicaragua,111.8,265.91,17.44,4.5,207.3,147.1,5.8,5822209.0,18955.0,0.597,24.63,0.461,95.0
Niger,30.2,272.47,19.38,,,,,15893746.0,8643.0,0.297,50.0,0.7070000000000001,590.0
Nigeria,2321.1,5848.25,309.94,52.8,795.1,81.3,72.9,159707780.0,338523.0,0.467,,,630.0
Niue,0.1,0.78,0.05,,,,,1354.0,,,,,
Norway,1878.0,1051.21,55.72,38.1,62.1,34.7,71.3,4889252.0,228689.0,0.953,11.85,0.065,7.0
Oman,451.9,1301.44,90.41,63.5,24913.6,520.2,,2802768.0,69377.0,0.7290000000000001,,,64.0
Pakistan,2644.9,4741.19,313.48,136.3,721.2,132.6,190.9,173149306.0,416107.0,0.513,33.94,0.34,32.0
Palau,2.4,4.13,0.29,,,,,20470.0,304.0,0.7859999999999999,,0.5670000000000001,260.0
