,co2_emissions,ghg_emissions,ghg_2010 emissions,co2_2011_emissions,change_1971_2011,change_1990_2011,total_footprint,pop_2010,gdp_ppp_2010,hdi_2011,hdi_change_1990_2011,gender_inequality_2012,maternal_2010
Romania,"6,966.20",3495.47,129.51,  81.8,-28.8,-51.2,98.9,"21,438,001",231365,0.784,11.05,0.327,27
Russian Federation,"94,678.70",50472.73,2326.10, 1 653.2,,-24.1,1314.8,"142,389,000",2019300,0.784,7.40,0.312,34
Rwanda,20.6,80.94,4.80,,,,,"10,836,732",11442,0.429,84.12,0.414,340
Saint Kitts & Nevis,3.1,5.26,0.38,,,,,"52,352",828,0.745,,,
Saint Lucia,7.9,20.94,1.12,,,,,"177,397",1767,0.724,,,35
Saint Vincent & Grenadines,3.9,4.79,0.27,,,,,"109,316",1027,0.732,,,48
Samoa,4.5,7.53,0.40,,,,,"186,029",712,0.701,,,
Sao Tome & Principe,2.6,3.37,0.21,,,,,"178,228",275,0.522,,,70
Saudi Arabia,"6,892.50",6937.88,542.10,  457.3,3490.6,190.3,,"27,258,387",677762,0.78,19.45,0.682,24
Senegal,122.7,359.23,21.32,  5.7,368.8,166.7,6.4,"12,950,564",21610,0.471,27.99,0.54,370
Serbia & Montenegro,"2,273.00",1386.65,68.27,  69.9,,13.8,,"7,291,436",70016,0.769,,,12
Seychelles,9.8,11.43,1.05,,,,,"89,770",1891,0.804,,,
Sierra Leone,32.6,134.61,5.74,,,,,"5,751,976",5732,0.348,40.89,0.643,890
Singapore,"1,039.50",1323.48,234.39,  64.8,955.0,120.4,178.4,"5,076,700",265582,0.894,18.25,0.101,3
Slovakia,"3,122.70",1069.03,43.77,  33.9,-13.3,-40.3,44.2,"5,430,099",109468,0.838,11.14,0.171,6
Slovenia,608.8,398.04,19.74,  15.3,,14.4,19.9,"2,048,583",51261,0.892,,0.08,12
Solomon Islands,5.4,9.24,0.55,,,,,"526,447",1308,0.526,,,93
South Africa,"13,133.60",9373.88,559.65,  367.6,134.6,44.9,294.2,"49,991,300",475740,0.625,0.64,0.462,300
Spain,"11,057.00",7631.34,407.97,  270.3,125.5,31.7,440.6,"46,070,971",1239335,0.885,17.06,0.103,6
Sri Lanka,287.6,734.76,39.09,  15.0,444.4,301.2,21.5,"20,653,000",95022,0.711,16.94,0.402,35
Sudan,229,2642.59,168.72,  14.5,343.3,163.6,,"35,652,002",80948,0.419,39.20,0.604,730
Suriname,88.7,91.39,3.99,,,,,"524,960",3731,0.681,,0.467,130
Swaziland,23.7,51.74,2.76,,,,,"1,193,148",5634,0.536,0.56,0.525,320
Sweden,"4,328.30",1427.71,73.99,  44.9,-45.5,-14.9,80.2,"9,378,126",320032,0.915,11.18,0.055,4
Switzerland,"2,496.30",1101.97,52.13,  39.9,2.3,-4.2,108.0,"7,824,909",305736,0.912,8.57,0.057,8
Syria,"1,231.60",1642.25,99.92,  53.2,783.0,88.9,,"21,532,647",96934,0.646,15.98,0.551,70
Taiwan,"5,484.40",,,  264.7,754.3,131.4,292.0,"23,024,956",,,,,
Tajikistan,409.7,207.95,10.46,  3.0,,-72.6,,"7,627,326",13370,0.618,0.49,0.338,65
Tanzania,113.1,1350.34,72.71,  6.3,310.8,267.1,10.4,"44,973,330",56273,0.47,33.14,0.556,460
Thailand,"3,927.90",5607.30,381.94,  243.2,1397.0,202.4,246.2,"66,402,316",530367,0.686,20.56,0.36,48
Togo,30,164.01,8.12,  1.2,266.3,118.7,,"6,306,014",5436,0.455,19.11,0.566,300
Tonga,3.3,6.93,0.40,,,,,"104,098",430,0.709,8.08,0.462,110
Trinidad & Tobago,773,604.07,54.01,  40.8,563.2,258.6,,"1,328,095",31142,0.759,10.80,0.311,46
Tunisia,557.7,575.61,27.82,  21.1,474.1,74.9,21.7,"10,549,100",89610,0.71,28.39,0.261,56
Turkey,"5,750.70",6182.30,385.77,  285.7,590.0,125.1,327.5,"72,137,546",914063,0.72,26.54,0.366,20
Turkmenistan,"1,846.50",1487.43,96.40,  61.5,,38.4,,"5,041,995",37027,0.693,,,67
Uganda,53,452.94,27.50,,,,5.3,"33,987,213",38399,0.454,48.37,0.517,310
Ukraine,"25,431.00",11065.82,390.35,  285.4,,-58.5,255.4,"45,870,700",276575,0.737,3.22,0.338,32
